               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.070599,            0.013329,                   0,           0.0033333,                   1,            0.016889,           0.0055925,            0.050129,            0.010564,                   0,            0.044047,           0.0050475,           0.0050475
                  62,            0.067438,           0.0092368,                   0,           0.0033333,                   1,            0.016448,           0.0054911,            0.050381,            0.010543,                   0,            0.043113,           0.0051127,           0.0051127
                  63,            0.078496,           0.0091735,                   0,           0.0033333,                   1,            0.016448,           0.0054911,            0.050381,            0.010543,                   0,            0.042177,           0.0051773,           0.0051773
                  64,            0.076761,            0.010542,                   0,           0.0033333,                   1,            0.052903,            0.020543,            0.046874,            0.010564,                   0,            0.041241,           0.0052414,           0.0052414
                  65,            0.061839,             0.01584,                   0,           0.0033333,                   1,            0.052903,            0.020543,            0.046874,            0.010564,                   0,            0.040305,           0.0053049,           0.0053049
                  66,            0.065379,            0.013599,                   0,           0.0033333,                   1,            0.054053,            0.018945,            0.046946,            0.010068,                   0,            0.039368,           0.0053679,           0.0053679
                  67,            0.057931,            0.015424,                   0,           0.0033333,                   1,            0.054053,            0.018945,            0.046946,            0.010068,                   0,             0.03843,           0.0054303,           0.0054303
                  68,            0.063748,            0.013247,                   0,           0.0033333,                   1,            0.074895,            0.014767,            0.047615,           0.0097719,                   0,            0.037492,           0.0054921,           0.0054921
                  69,            0.066892,           0.0098832,                   0,           0.0033333,                   1,            0.074895,            0.014767,            0.047615,           0.0097719,                   0,            0.036553,           0.0055533,           0.0055533
                  70,            0.078155,           0.0096213,                   0,           0.0033333,                   1,            0.037414,            0.015026,            0.037061,            0.010852,                   0,            0.035614,            0.005614,            0.005614
                  71,            0.065054,            0.013223,                   0,           0.0033333,                   1,            0.037414,            0.015026,            0.037061,            0.010852,                   0,            0.034674,           0.0056741,           0.0056741
                  72,            0.059427,            0.011499,                   0,           0.0022222,             0.66667,           0.0066264,           0.0016935,            0.075015,           0.0064923,                   0,            0.033734,           0.0057337,           0.0057337
                  73,            0.069747,            0.013521,                   0,           0.0022222,             0.66667,           0.0066264,           0.0016935,            0.075015,           0.0064923,                   0,            0.032793,           0.0057927,           0.0057927
                  74,            0.071691,            0.012563,                   0,           0.0033333,                   1,            0.014166,            0.004244,            0.063948,           0.0075985,                   0,            0.031851,           0.0058511,           0.0058511
